,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
33,-182.796875,1276.339844,-384.360077,1280.403198,-246.116913,968.094177,-276.639038,811.042847,-320.469696,618.270508,-342.813995,422.872192,-395.316101,390.495087,-183.919373,379.977661
34,-183.041946,1276.427612,-384.680328,1280.400146,-245.918442,968.065491,-276.376465,811.08075,-320.25885,618.256653,-342.7612,422.870392,-395.320953,390.490662,-183.915436,379.974976
35,-183.291428,1276.522583,-384.985321,1280.375732,-245.747986,968.059631,-276.111938,811.119202,-320.057709,618.246277,-342.717896,422.873749,-395.323608,390.489197,-183.909409,379.974335
36,-183.544708,1276.624023,-385.27301,1280.329712,-245.609802,968.078552,-275.848267,811.158386,-319.865845,618.24054,-342.683472,422.882721,-395.324493,390.490387,-183.90184,379.977081
37,-183.801163,1276.730225,-385.543182,1280.265503,-245.506088,968.12262,-275.588196,811.198242,-319.682373,618.240295,-342.65741,422.898041,-395.324005,390.493683,-183.893341,379.983459
38,-184.059967,1276.839478,-385.797028,1280.188965,-245.436981,968.190979,-275.333984,811.238708,-319.506104,618.246704,-342.639496,422.920441,-395.322388,390.498505,-183.884247,379.99234
39,-184.320175,1276.950317,-386.036133,1280.106934,-245.400589,968.281311,-275.087158,811.27948,-319.335693,618.260254,-342.629486,422.950348,-395.319977,390.504242,-183.874908,380.001587
40,-184.58075,1277.060913,-386.262146,1280.026733,-245.393341,968.390503,-274.848267,811.320068,-319.169556,618.281128,-342.627319,422.987976,-395.317047,390.510223,-183.865372,380.00827
41,-184.840317,1277.169189,-386.47644,1279.9552,-245.410355,968.514465,-274.616882,811.359863,-319.005981,618.308655,-342.632629,423.032776,-395.313843,390.516022,-183.855667,380.009521
42,-185.097549,1277.273804,-386.679932,1279.898315,-245.445816,968.648499,-274.391663,811.398254,-318.843384,618.342163,-342.644714,423.083923,-395.310638,390.521179,-183.845779,380.003021
43,-185.3508,1277.372681,-386.873199,1279.860107,-245.493439,968.78772,-274.170319,811.434326,-318.680389,618.379883,-342.662567,423.139801,-395.307709,390.52533,-183.835709,379.987701
44,-185.598465,1277.464966,-387.056366,1279.843628,-245.54689,968.927429,-273.950073,811.46698,-318.515594,618.419861,-342.684631,423.198547,-395.305389,390.528503,-183.825607,379.963806
45,-185.83873,1277.549438,-387.229523,1279.849365,-245.600113,969.06311,-273.727875,811.495667,-318.348206,618.459717,-342.708984,423.257965,-395.303833,390.530548,-183.81572,379.933197
46,-186.069748,1277.625366,-387.392578,1279.876831,-245.647751,969.190857,-273.500671,811.519348,-318.177368,618.496765,-342.733551,423.316071,-395.303345,390.531647,-183.806412,379.898804
47,-186.289597,1277.692017,-387.545349,1279.923828,-245.685226,969.307495,-273.2659,811.537476,-318.002869,618.528809,-342.756378,423.370972,-395.303864,390.531982,-183.798157,379.864288
48,-186.496307,1277.749146,-387.687683,1279.987061,-245.709076,969.410767,-273.021576,811.549988,-317.824585,618.553467,-342.775604,423.421326,-395.305573,390.531799,-183.791565,379.833374
49,-186.68782,1277.796753,-387.819305,1280.06311,-245.716888,969.499084,-272.766541,811.556763,-317.642578,618.569153,-342.789856,423.466339,-395.308319,390.531372,-183.787186,379.809326
